iter	Passed	Remaining
0	3	3504
1	6	3301
2	9	3203
3	12	3197
4	16	3202
5	19	3176
6	22	3161
7	25	3142
8	28	3129
9	31	3146
10	34	3114
11	37	3116
12	40	3091
13	43	3064
14	46	3069
15	49	3058
16	53	3079
17	56	3076
18	59	3093
19	63	3091
20	66	3093
21	69	3089
22	72	3092
23	75	3077
24	79	3084
25	81	3067
26	84	3061
27	87	3053
28	90	3046
29	94	3055
30	97	3046
31	100	3040
32	100	3040
33	103	3040
34	107	3043
35	110	3039
36	113	3036
37	116	3020
38	119	3028
39	125	3095
40	129	3103
41	133	3108
42	136	3099
43	139	3100
44	142	3102
45	146	3115
46	150	3119
47	154	3121
48	157	3121
49	162	3147
50	165	3147
51	169	3142
52	172	3134
53	176	3147
54	179	3138
55	182	3137
56	185	3128
57	190	3144
58	194	3148
59	194	3148
60	197	3137
61	197	3137
62	200	3134
63	203	3129
64	206	3119
65	209	3110
66	213	3111
67	216	3105
68	219	3099
69	222	3092
70	222	3092
71	226	3096
72	230	3095
73	233	3091
74	237	3088
75	240	3082
76	243	3076
77	246	3071
78	249	3064
79	252	3057
80	256	3059
81	259	3059
82	263	3053
83	266	3049
84	270	3050
85	272	3042
86	276	3036
87	279	3029
88	281	3021
89	284	3013
90	287	3007
91	291	3004
92	294	3001
93	298	3000
94	301	2999
95	305	3001
96	308	2999
97	312	2994
98	315	2991
99	318	2989
100	323	2995
101	327	2999
102	332	3014
103	335	3009
104	338	3003
105	343	3014
106	347	3011
107	350	3007
108	353	3001
109	357	2999
110	360	2995
111	363	2988
112	366	2981
113	369	2974
114	373	2980
115	377	2979
116	380	2976
117	383	2970
118	387	2969
119	391	2971
120	394	2966
121	398	2967
122	401	2961
123	405	2962
124	409	2958
125	412	2953
126	415	2952
127	420	2955
128	423	2951
129	427	2951
130	431	2954
131	431	2954
132	431	2954
133	435	2944
134	439	2943
135	442	2943
136	446	2939
137	449	2937
138	453	2936
139	457	2935
140	461	2933
141	461	2933
142	461	2933
143	464	2925
144	468	2922
145	472	2921
146	476	2926
147	480	2923
148	483	2919
149	487	2920
150	492	2921
151	495	2918
152	498	2914
153	501	2907
154	507	2918
155	510	2913
156	514	2908
157	517	2903
158	521	2907
159	525	2903
160	528	2897
161	531	2893
162	536	2895
163	540	2894
164	543	2889
165	547	2890
166	551	2889
167	554	2884
168	559	2885
169	562	2881
170	566	2882
171	570	2877
172	573	2872
173	576	2868
174	580	2865
175	583	2862
176	586	2856
177	590	2854
178	594	2855
179	598	2853
180	601	2848
181	605	2846
182	608	2842
183	611	2837
184	615	2832
185	618	2827
186	621	2822
187	623	2813
188	626	2808
189	629	2802
190	632	2797
191	635	2792
192	638	2787
193	642	2782
194	645	2777
195	648	2772
196	651	2769
197	655	2765
198	658	2760
199	661	2754
200	663	2748
201	666	2743
202	670	2738
203	674	2737
204	676	2731
205	680	2726
206	683	2723
207	687	2722
208	690	2719
209	694	2715
210	697	2711
211	701	2708
212	705	2707
213	709	2705
214	712	2700
215	715	2695
216	719	2695
217	722	2691
218	725	2686
219	729	2684
220	733	2682
221	736	2679
222	740	2676
223	743	2672
224	747	2669
225	750	2665
226	754	2661
227	757	2657
228	760	2653
229	763	2649
230	767	2646
231	771	2643
232	774	2640
233	778	2637
234	781	2634
235	784	2629
236	788	2626
237	791	2621
238	794	2616
239	797	2611
240	800	2607
241	803	2603
242	806	2598
243	810	2594
244	813	2591
245	816	2587
246	820	2583
247	823	2578
248	826	2574
249	829	2571
250	833	2567
251	836	2563
252	839	2558
253	842	2555
254	846	2551
255	849	2548
256	852	2544
257	856	2540
258	859	2537
259	862	2532
260	865	2527
261	868	2523
262	872	2522
263	875	2517
264	879	2513
265	881	2507
266	884	2503
267	888	2500
268	891	2496
269	894	2493
270	897	2488
271	901	2484
272	904	2480
273	907	2476
274	910	2473
275	912	2466
276	916	2462
277	919	2458
278	922	2454
279	926	2451
280	929	2448
281	932	2444
282	936	2441
283	939	2438
284	943	2435
285	947	2433
286	950	2429
287	954	2426
288	958	2424
289	962	2422
290	964	2417
291	968	2413
292	971	2410
293	975	2408
294	980	2407
295	984	2405
296	989	2405
297	992	2401
298	994	2396
299	997	2391
300	1001	2388
301	1005	2387
302	1008	2383
303	1011	2378
304	1014	2373
305	1018	2371
306	1022	2369
307	1025	2364
308	1028	2360
309	1031	2355
310	1034	2352
311	1037	2348
312	1040	2344
313	1044	2342
314	1047	2337
315	1051	2335
316	1054	2331
317	1058	2327
318	1061	2323
319	1064	2320
320	1068	2317
321	1071	2313
322	1074	2310
323	1078	2307
324	1083	2306
325	1086	2302
326	1089	2298
327	1092	2293
328	1096	2292
329	1100	2289
330	1103	2285
331	1106	2282
332	1110	2278
333	1115	2277
334	1118	2274
335	1121	2270
336	1125	2267
337	1129	2266
338	1132	2262
339	1135	2258
340	1138	2253
341	1142	2251
342	1146	2247
343	1148	2243
344	1151	2238
345	1154	2234
346	1156	2228
347	1160	2225
348	1163	2220
349	1166	2216
350	1169	2212
351	1172	2208
352	1176	2206
353	1179	2202
354	1183	2199
355	1184	2192
356	1188	2189
357	1191	2185
358	1194	2181
359	1197	2177
360	1200	2173
361	1203	2169
362	1207	2166
363	1209	2161
364	1213	2157
365	1216	2154
366	1219	2150
367	1222	2145
368	1225	2142
369	1228	2138
370	1231	2134
371	1234	2130
372	1237	2125
373	1240	2121
374	1243	2118
375	1246	2113
376	1249	2109
377	1252	2105
378	1255	2102
379	1258	2098
380	1262	2094
381	1265	2090
382	1268	2086
383	1271	2083
384	1274	2079
385	1277	2075
386	1280	2070
387	1283	2067
388	1287	2064
389	1290	2060
390	1293	2056
391	1296	2052
392	1298	2047
393	1301	2043
394	1305	2040
395	1308	2036
396	1310	2032
397	1313	2027
398	1316	2023
399	1319	2019
400	1321	2014
401	1325	2011
402	1328	2007
403	1331	2003
404	1334	1999
405	1337	1995
406	1340	1992
407	1343	1988
408	1346	1985
409	1349	1981
410	1352	1977
411	1355	1973
412	1359	1969
413	1359	1969
414	1361	1962
415	1364	1958
416	1367	1954
417	1367	1954
418	1371	1947
419	1374	1944
420	1374	1944
421	1377	1937
422	1381	1934
423	1385	1931
424	1388	1928
425	1391	1924
426	1394	1921
427	1398	1918
428	1401	1914
429	1405	1912
430	1409	1909
431	1412	1905
432	1416	1902
433	1419	1899
434	1423	1896
435	1426	1893
436	1430	1890
437	1434	1887
438	1437	1884
439	1441	1881
440	1444	1877
441	1447	1874
442	1451	1870
443	1451	1870
444	1454	1863
445	1459	1862
446	1462	1859
447	1466	1856
448	1470	1853
449	1470	1853
450	1473	1846
451	1476	1842
452	1480	1839
453	1482	1835
454	1485	1832
455	1488	1828
456	1491	1824
457	1495	1821
458	1498	1817
459	1501	1813
460	1505	1810
461	1508	1806
462	1511	1803
463	1514	1799
464	1517	1795
465	1520	1792
466	1524	1790
467	1528	1787
468	1533	1785
469	1537	1782
470	1537	1782
471	1540	1775
472	1540	1775
473	1542	1767
474	1545	1764
475	1549	1760
476	1552	1757
477	1555	1753
478	1557	1749
479	1561	1745
480	1564	1742
481	1567	1738
482	1570	1735
483	1573	1731
484	1576	1727
485	1579	1723
486	1582	1719
487	1585	1716
488	1588	1712
489	1588	1712
490	1591	1705
491	1593	1700
492	1596	1697
493	1596	1697
494	1600	1690
495	1603	1687
496	1607	1684
497	1610	1680
498	1613	1677
499	1617	1674
500	1620	1670
501	1624	1667
502	1628	1665
503	1631	1661
504	1635	1658
505	1638	1655
506	1643	1653
507	1647	1650
508	1652	1648
509	1656	1646
510	1660	1643
511	1664	1640
512	1667	1637
513	1670	1633
514	1673	1629
515	1676	1626
516	1680	1623
517	1682	1618
518	1685	1615
519	1692	1614
520	1696	1612
521	1696	1612
522	1699	1605
523	1703	1602
524	1707	1599
525	1711	1596
526	1714	1592
527	1714	1592
528	1717	1586
529	1720	1582
530	1723	1578
531	1723	1578
532	1727	1572
533	1727	1572
534	1730	1565
535	1733	1562
536	1736	1558
537	1740	1555
538	1744	1552
539	1747	1548
540	1750	1545
541	1755	1543
542	1758	1539
543	1762	1536
544	1765	1533
545	1770	1530
546	1773	1527
547	1776	1523
548	1779	1520
549	1783	1517
550	1786	1513
551	1790	1510
552	1793	1507
553	1797	1503
554	1800	1500
555	1804	1497
556	1807	1493
557	1811	1490
558	1814	1487
559	1819	1484
560	1822	1481
561	1825	1478
562	1828	1474
563	1832	1471
564	1835	1467
565	1838	1464
566	1842	1460
567	1845	1457
568	1848	1454
569	1853	1451
570	1856	1448
571	1856	1448
572	1861	1442
573	1863	1438
574	1865	1433
575	1865	1433
576	1870	1428
577	1873	1424
578	1877	1421
579	1882	1419
580	1886	1416
581	1889	1412
582	1892	1409
583	1896	1406
584	1901	1403
585	1904	1400
586	1907	1396
587	1911	1394
588	1915	1390
589	1918	1387
590	1921	1383
591	1926	1381
592	1929	1377
593	1932	1374
594	1936	1370
595	1940	1368
596	1943	1364
597	1947	1361
598	1950	1357
599	1953	1354
600	1956	1350
601	1959	1347
602	1962	1343
603	1965	1339
604	1969	1336
605	1972	1332
606	1975	1329
607	1978	1325
608	1981	1322
609	1985	1318
610	1988	1315
611	1992	1312
612	1995	1308
613	1998	1305
614	2002	1302
615	2006	1299
616	2009	1295
617	2012	1291
618	2016	1288
619	2019	1285
620	2022	1281
621	2025	1278
622	2028	1274
623	2031	1271
624	2035	1267
625	2037	1263
626	2040	1260
627	2043	1256
628	2046	1253
629	2050	1249
630	2053	1246
631	2055	1242
632	2059	1238
633	2062	1235
634	2065	1231
635	2067	1227
636	2070	1224
637	2073	1220
638	2077	1217
639	2080	1213
640	2082	1209
641	2085	1206
642	2089	1202
643	2091	1198
644	2094	1195
645	2097	1192
646	2100	1188
647	2104	1185
648	2107	1181
649	2110	1178
650	2114	1175
651	2117	1171
652	2121	1168
653	2123	1164
654	2126	1160
655	2128	1156
656	2131	1153
657	2135	1149
658	2138	1146
659	2141	1143
660	2144	1139
661	2147	1136
662	2150	1132
663	2153	1129
664	2156	1125
665	2159	1121
666	2162	1118
667	2165	1114
668	2168	1111
669	2171	1107
670	2174	1104
671	2177	1100
672	2180	1097
673	2183	1093
674	2186	1090
675	2189	1086
676	2192	1083
677	2195	1079
678	2198	1076
679	2202	1072
680	2206	1069
681	2210	1066
682	2213	1063
683	2216	1059
684	2220	1056
685	2223	1053
686	2226	1049
687	2230	1046
688	2233	1043
689	2236	1039
690	2239	1035
691	2242	1032
692	2245	1028
693	2248	1025
694	2251	1021
695	2254	1018
696	2257	1015
697	2261	1011
698	2263	1008
699	2266	1004
700	2270	1001
701	2273	997
702	2277	994
703	2280	991
704	2283	987
705	2286	984
706	2290	981
707	2293	977
708	2296	974
709	2301	971
710	2304	968
711	2307	964
712	2311	961
713	2314	957
714	2317	954
715	2320	950
716	2323	947
717	2326	944
718	2329	940
719	2332	937
720	2336	934
721	2341	931
722	2344	927
723	2348	924
724	2352	921
725	2355	918
726	2359	914
727	2362	911
728	2365	907
729	2368	904
730	2372	901
731	2375	897
732	2378	894
733	2383	891
734	2389	889
735	2392	886
736	2395	882
737	2399	879
738	2402	875
739	2406	872
740	2408	868
741	2411	865
742	2414	861
743	2418	858
744	2421	855
745	2424	851
746	2428	848
747	2431	845
748	2434	841
749	2437	838
750	2441	835
751	2445	831
752	2448	828
753	2451	824
754	2454	821
755	2458	818
756	2461	814
757	2465	811
758	2468	808
759	2473	805
760	2476	802
761	2479	798
762	2482	795
763	2485	791
764	2488	788
765	2492	784
766	2495	781
767	2498	778
768	2501	774
769	2505	771
770	2508	767
771	2511	764
772	2514	761
773	2517	757
774	2520	754
775	2523	750
776	2527	747
777	2530	743
778	2533	740
779	2536	737
780	2539	733
781	2541	730
782	2544	726
783	2547	723
784	2550	719
785	2553	716
786	2556	712
787	2558	709
788	2561	705
789	2564	702
790	2566	698
791	2569	695
792	2572	691
793	2575	688
794	2578	684
795	2580	681
796	2583	677
797	2586	674
798	2589	670
799	2592	667
800	2595	663
801	2599	660
802	2601	657
803	2604	653
804	2607	650
805	2610	646
806	2613	643
807	2616	639
808	2619	636
809	2622	633
810	2624	629
811	2627	626
812	2630	622
813	2632	619
814	2635	615
815	2637	612
816	2640	608
817	2643	605
818	2646	601
819	2649	598
820	2652	595
821	2655	591
822	2658	588
823	2661	584
824	2664	581
825	2667	578
826	2670	574
827	2674	571
828	2677	567
829	2679	564
830	2682	561
831	2686	557
832	2689	554
833	2691	550
834	2694	547
835	2697	544
836	2700	540
837	2703	537
838	2706	533
839	2709	530
840	2712	527
841	2714	523
842	2717	520
843	2720	517
844	2723	513
845	2726	510
846	2729	506
847	2732	503
848	2738	500
849	2741	497
850	2744	493
851	2748	490
852	2751	487
853	2754	483
854	2757	480
855	2760	477
856	2763	473
857	2767	470
858	2769	467
859	2774	464
860	2778	460
861	2781	457
862	2785	454
863	2789	451
864	2795	448
865	2798	444
866	2801	441
867	2804	438
868	2807	434
869	2809	431
870	2813	427
871	2816	424
872	2819	421
